<OOV>	0.0009264773	-0.046936452	-0.047738276	-0.029024279	-0.031780947	0.03702305	0.00907587	-0.009968423	0.054634605	-0.018393872	0.02365334	-0.0036289368	-0.0022448513	0.0028778822	0.0099895485	0.013579499
the	-0.0052131787	0.049083434	-0.05009978	0.014922006	-0.0019322953	-0.0069947345	-0.035671905	0.01625903	0.011967005	0.008406891	0.009235357	-0.04569242	-0.0389157	-0.0077344775	-0.03460779	0.009214335
to	-0.0033328945	0.010353698	-0.02926289	-0.04698092	0.016449938	-0.01064324	-0.0037148166	-0.043147195	-0.033645052	-0.035639398	0.03288438	-0.026777798	0.014580212	0.006877695	0.002172458	0.0469016
a	-0.040623277	-0.027425881	0.017668942	0.0307293	0.014532943	-0.05749646	0.03243395	-0.02167758	-0.036628667	-0.0056657097	-0.016679917	0.046846826	0.054814465	-0.05148828	-0.0020242953	-0.010658043
and	0.015017894	-0.0030697298	0.019309165	-0.040015	-0.018689018	-0.03875096	0.021986239	0.010288782	0.021105336	0.026554162	0.012848293	-0.033876594	-0.032071922	0.006939066	-0.035289533	0.022218198
of	0.006426258	0.0109661715	0.013048025	-0.021081522	-0.017790638	-0.020128902	0.015058771	-0.024491658	-0.005789565	-0.020169938	0.04421344	-0.04605781	-0.030567389	-0.05204288	-0.04225608	0.03598726
bearings	0.024883617	-0.04009097	0.061891906	-0.011078512	0.06716795	0.01082976	-0.0646483	0.05829594	0.015882196	-0.011902154	0.064642794	-0.05285602	-0.0034310322	-0.003822378	0.05362711	0.01466492
is	0.045837857	-0.006325977	0.0013883252	0.040655375	0.03270092	-0.022213673	0.061240096	0.0330087	0.041803923	0.036612764	0.02156182	-0.018625703	0.042655878	-0.0014536706	-0.010756348	-0.045478377
for	-0.027401265	-0.018732954	0.020892	0.04578772	-0.05104171	-0.020678053	-0.017621566	0.014981723	-0.0356045	0.024523385	-0.03326884	0.032831885	0.03941817	0.0046629454	0.037785165	0.027989453
in	-0.053780455	-0.019133622	0.016611684	0.011995748	0.05377066	-0.05671152	-0.042104464	-0.051725425	-0.034896024	-0.03261235	0.02096655	0.03545673	0.02765788	-0.034330364	0.02435328	0.03047555
with	-0.038887814	0.07941772	-0.04097973	0.045134686	-0.05148159	-0.06602444	-0.0090439515	0.0047111204	-0.017672483	-0.0040739933	-0.032690626	0.032259	-0.023435725	-0.044588424	0.0026142586	-0.030093133
are	0.023250803	0.01916133	-0.05352389	0.0801325	-0.035599265	-0.044655997	0.058568474	-0.1379982	-0.0052424474	0.06635988	-0.08498376	0.012033343	-0.06767016	0.03139352	-0.047018506	0.08124192
as	-0.05069115	-0.042929534	0.033665895	0.02928124	-0.01991663	0.005255136	0.018640088	-0.02464057	-0.042255327	0.036285765	0.02754944	-0.012906028	-0.012050445	-0.00932227	-0.05014893	0.01320679
or	0.035246342	0.023173902	-0.008155039	-0.008755843	-0.0029570058	0.053466868	0.040653598	-0.019393615	-0.062596366	0.019037126	-0.020341702	-0.0032795242	0.03562506	0.0035897652	0.013757471	-0.053904973
spring	0.106886595	-0.03687461	0.024543617	0.051392794	-0.054762583	0.08114319	0.05677816	0.012651174	-0.02674345	0.035019	0.071631186	0.0743739	-0.04691553	0.09327196	0.07956533	-0.044069134
springs	0.11450346	-0.04789053	0.011985523	0.06759492	-0.03524565	0.120253295	0.06971387	0.017293833	-0.024605092	0.042550478	-0.016054634	0.101132266	-0.04771977	0.048265237	0.10544126	-0.024635023
than	0.0160721	-0.0049213786	0.052212447	-0.059876103	0.07150094	0.0048136753	-0.023956962	-0.02268794	0.05297382	0.025172489	-0.0102551365	-0.02530937	0.0047720494	-0.019859368	-0.019311292	-0.012555538
